"Artikel","Judul Penelitian","Penulis & Tahun","Dataset","Jumlah Subjek & Data","Jenis Data/Input","Jenis Drawing","Teknik Preprocessing","Teknik Data Augmentation","Algoritma/Model","Arsitektur Model","Hyperparameter","Tuning Hyperparameter","Metode Splitting","Metode Validasi","Evaluation Metrics","Hasil Terbaik","Kelebihan Penelitian","Keterbatasan Penelitian"
"Art. 1","A Comprehensive Framework for Parkinson’s Disease Detection Using Spiral Drawings and Advanced Machine Learning Techniques","Saadh, M.J., et al. (2025)","Comprehensive private dataset","1155 subjek (645 PD, 510 sehat); 4529 sampel data.","Gambar statis (grayscale) dan data time-series dinamis.","Spiral","Digitization, median filtering, Savitzky-Golay filtering, normalisasi, standardisasi z-score.","Rotasi acak (±15°), scaling (90%-110%), flipping, shearing, perturbasi dinamis.","Deep Learning untuk ekstraksi fitur + ML (SVM, RF, dll) + Feature Selection (PCA, RFE, LASSO, ANOVA).","Pre-trained CNN (ResNet50, VGG16, EfficientNetB0) -> custom fully connected layers -> dropout -> softmax.","Size/Batch/Epoch/Optim/Loss: Tidak dilaporkan. LR: Dynamic. Dropout: Ya","Grid search, randomized search.","K-fold cross-validation.","Stratified 10-fold cross-validation, LOOCV.","Accuracy, Sensitivity (Recall), AUC-ROC, F1-Score.","ResNet50 + PCA + MLP mendapat akurasi 98% dan AUC-ROC 97%.","Menggabungkan fitur statis dan dinamis secara efektif, menggunakan banyak seleksi fitur, tingkat interpretabilitas klinis tinggi.","Kekurangan sampel untuk stadium PD tertentu, tidak mencakup gaya berjalan (gait) atau suara, belum diuji real-time."
"Art. 2","A Deep Learning Framework for Early Parkinson’s Disease Detection: Leveraging Spiral and Wave Handwriting Tasks with EfficientNetV2-S","Razaq, A., et al. (2025)","Parkinson's Augmented Handwriting Dataset (Kaggle).","Total 1020 gambar (Spiral: 255 PD, 255 sehat; Wave: 255 PD, 255 sehat).","Synthetic RGB representation dari citra handwriting.","Spiral dan Wave.","Grayscale conversion, histogram equalization, Canny edge detection, digabung menjadi RGB buatan, normalisasi [-1, 1].","Rotasi (±15°), shift, zoom, shear, horizontal flip.","EfficientNetV2-S dan baseline CNN.","Pre-trained EfficientNetV2-S -> Global Average Pooling (GAP) -> Dense layer (512 neuron, ReLU) -> Output (2 neuron, Softmax).","Size: 224x224x3, Batch: 16, Epoch: 10, LR: 0.001, Optim: Adam, Loss: Categorical cross-entropy, Drop: 0.5","Menggunakan ReduceLROnPlateau scheduler.","Data latih (356), validasi (76), uji (78) per tugas.","5-fold cross validation.","Accuracy, Precision, Recall, F1-Score, ROC-AUC, Confusion Matrix.","Akurasi untuk Spiral: 98.68%; Akurasi untuk Wave: 98.10%.","Preprocessing fusi saluran menjadi citra pseud-RGB sangat inovatif, performa sangat seimbang untuk setiap kelas klasifikasi.","Risiko overfitting masih ada mengingat dataset asli cukup kecil, tidak memproses fitur temporal secara langsung."
"Art. 3","A review of machine learning and deep learning for Parkinson’s disease detection","Rabie, H., & Akhloufi, M. A. (2025)","Beragam (Review), termasuk NewHandPD, UCI, PaHaW, mPower, dll.","Beragam (Tergantung studi yang direview).","Beragam (Audio, citra MRI, EEG, sinyal gait, handwriting).","Spiral, meander, circle.","Beragam (Review): Normalisasi, filtering, SMOTE, PCA, spectrogram conversion, dll.","Beragam: DCGAN, Style Transfer, rotation, scaling, dll.","Beragam: ML (XGBoost, KNN, RF) dan DL (CNN, RNN, DNN).","Beragam (AlexNet, VGG, ResNet, MobileNet).","Tidak dilaporkan spesifik (Studi literatur / Review).","Tidak dilaporkan spesifik.","Beragam, contohnya rasio 80:20.","K-fold cross-validation, LOSO cross-validation.","Accuracy, Precision, F1-score, Recall, Specificity, AUC, RMSE/MSE.","Beragam, dari kajian pustaka model bisa mencapai 100% pada dataset target tertentu.","Tinjauan komprehensif dari segala modalitas data dan metodologi, baik ML konvensional maupun deep learning modern.","Karena ini hanya artikel review, tantangan utamanya menyorot privasi dan kekurangan model Explainable AI (XAI)."
"Art. 4","Comparative Evaluation of XAI Techniques for CNN Interpretation in Parkinson’s Drawing Test Classification","Alawode, O.O., et al. (2026/2025)","DraWritePD.","58 subjek (24 PD, 34 sehat).","Citra digital yang direkonstruksi dari matriks time-stamp kordinat.","Archimedean spiral, Line tracing.","Rekonstruksi citra, cropping untuk menghilangkan white space berlebih.","Vertical/horizontal flip, rotasi acak (180°), color jitter (brightness, contrast).","ConvNeXtV2, ResNet terintegrasi teknik Explainable AI (XAI).","Pre-trained CNN dari pustaka Timm.","Tidak dilaporkan.","Tidak dilaporkan.","Tidak dilaporkan eksplisit.","Tidak dilaporkan eksplisit.","Accuracy, Precision, Recall, F1 score, Mean Infidelity.","ConvNeXtV2 (Akurasi 0.90, F1 0.89). Metode XAI GradCAM & AblationCAM terbaik untuk interpretasi Spiral.","Analisa mendalam pada tingkat transparansi model untuk melihat mengapa AI memprediksi PD (fidelity), tak hanya berpatokan pada akurasi.","Teknik XAI kurang konsisten antara satu dan lainnya, kadang AI malah fokus pada area yang tidak relevan secara klinis."
"Art. 5","Design of a deep fusion model for early Parkinson’s disease prediction using handwritten image analysis","Shyamala, K., & Navamani, T. M. (2025)","K Scott Mader dataset (Kaggle).","204 citra asli, diagumentasi menjadi 3264 citra (1632 PD, 1632 sehat).","Augmented handwritten images.","Spiral dan Wave.","Resizing, normalization, noise reduction.","Rotasi 90°, 180°, 270°, vertical flip 180°, color conversion.","RGG-Net (Hibrida ResNet-50 & GoogLeNet) dengan Adaptive Feature Fusion (AFF) & Hierarchical Ensemble Learning (HEL).","ResNet-50 & GoogLeNet Paralel -> AFF -> HEL -> FC Layers -> Dropout -> Klasifikasi.","Size: 224x224, Batch: 32, Epoch: 50, LR: 0.0001, Optim: Adam, Loss: Cross-entropy, Drop: Ya","Adaptive Learning Rate Scheduler (Reduce on Plateau).","70% latih, 10% validasi, 20% uji.","Menggunakan porsi validation split.","Confusion matrix, Accuracy, Precision, Recall, F1-Score, MCC, AUC, Error rate.","Model fusi (RGG-Net) meraih akurasi 99.12% saat memakai layer frozen konvolusi.","Fusi adaptif (Attention Mechanism) antara dua CNN (ResNet50 & GoogLeNet) sangat powerful, terintegrasi Grad-CAM untuk transparansi.","Dataset asli sangat kecil sehingga terlalu mengandalkan teknik perbanyakan gambar (augmentasi) yang dapat menurunkan resolusi."
"Art. 6","Drawing-Aware Parkinson’s Disease Detection Through Hierarchical Deep Learning Models","Kansizoglou, I., et al. (2025)","NewHandPD.","66 subjek (31 PD, 35 sehat); 594 total citra.","Offline handwriting images.","Circle, meander, spiral.","Resizing 224x224x3, normalisasi pixel-wise min-max.","Tidak dilaporkan.","Hierarchical Deep Learning (model pengenalan drawing & model deteksi PD).","Model pengenalan drawing Fd -> Model pendeteksi PD Fn. Semuanya memakai backbone ResNet-18 + FC layer + Softmax.","Size: 224x224x3, Batch: 32, Epoch: Fd=20, Fn=10, LR: 10^-3, Optim: Adam, Loss: Cross-entropy, Drop: Tidak dilaporkan","Exponentially decaying learning rate (menurun per 7 epoch).","Dibagi rata ke 5 lipatan (k-fold) non-overlapping.","Stratified 5-fold cross-validation.","Classification accuracy, Mean, Std. Dev, Confusion Matrix (TP).","Model hierarkis (Spiral, Meander, Circle) meraih akurasi total rata-rata 96.97%.","Arsitektur hierarkis menghindarkan sistem dari sifat black box murni karena AI mendeteksi jenis gambar dulu, nilai Recall untuk PD sangat tinggi (99%).","Validasi masih terkurung pada satu set data (NewHandPD), belum ada tes silang lintas dataset yang lain."
"Art. 7","Finger drawing on smartphone screens enables early Parkinson’s disease detection through hybrid 1D-CNN and BiGRU deep learning architecture","Zhu, Z., et al. (2025)","Proprietary smartphone dataset & NewHandPD (untuk validasi eksternal).","58 subjek (28 PD, 30 sehat).","1D Kinematic time-series (kecepatan, akselerasi, jerk, dsb).","Spiral dan sinusoidal wave (digambar menggunakan jari di layar HP).","Kinematic derivation (akselerasi, jerk), standardisasi Z-score, segmentasi dengan sliding window 32-sampel (75% overlap).","Strategi sliding window bertindak sebagai penambahan sampel latih (implisit).","Hybrid 1D-CNN dan Bidirectional Gated Recurrent Unit (BiGRU).","1D-CNN block (multi-cabang kernel 1,3,5 & MaxPool) -> BiGRU -> FC layer -> Dropout -> Sigmoid.","Size: N/A (jendela temporal 32), Batch: 4, Epoch: Tidak dilaporkan, LR: 0.001, Optim: Adam, Loss: Tidak dilaporkan, Drop: 0.3","L2 regularization, dropout tuning.","Subject-level partition untuk menghindari kebocoran data.","Stratified 10-fold cross validation (10 repetisi).","Accuracy, Sensitivity, Specificity, F1-score, ROC/AUC.","Fusi data Spiral & Wave mencapai akurasi 91.20%.","Pendekatan ramah telemedicine karena hanya pakai sensor sentuh jari HP (tak perlu stylus khusus), ekstraksi fitur multi-skala temporal yang peka tremor.","Kecepatan penangkapan layar HP rendah (60Hz) dibandingkan sensor pena klinis, belum bisa memisahkan sub-tipe jenis tremor PD."
"Art. 8","Hybrid Techniques of Multi-CNN and Ensemble Learning to Analyze Handwritten Spiral and Wave Drawing for Diagnosing Parkinson’s Disease","Al-Jabbar, M., et al. (2025)","Scott Mader (Kaggle).","204 citra asli, diperbanyak menjadi 3060 citra (1530 PD, 1530 sehat).","Handwritten graphics images.","Spiral dan Wave.","Average filter, Laplacian filter, Segmentasi Region of Interest (ROI) memakai Gradient Vector Flow (GVF).","Rotation, flip, shift.","Multi-CNN feature extraction + Feature Selection (ACO & MESbS) + Classifier (XGBoost, RF).","Paralel CNN (DenseNet169, MobileNet, VGG16) -> GAP -> Fusion -> Seleksi Fitur -> RF/XGBoost.","Tidak dilaporkan secara eksplisit (sebagian besar memakai pretrained extraction -> lalu lanjut ke ML classifier).","Tidak dilaporkan.","80% pelatihan (termasuk validasi), 20% pengujian.","Holdout validation split.","Confusion Matrix, AUC, Sensitivity, Accuracy, Precision, Specificity.","Model fusi (DenseNet169-MobileNet-VGG16) + ACO + RF meraih Akurasi 99.3%, Sensitivitas 99.6%.","Fusi berbagai arsitektur CNN menghasilkan vektor fitur yang sangat kaya, membuang data noise secara efektif melalui algoritma ACO & MESbS.","Biaya komputasi rumit karena memadukan 3 CNN raksasa sekaligus dengan pemilihan heuristik (ACO) yang juga berat."
"Art. 9","Parkinson’s Disease Detection through Offline Handwriting Analysis: A CNN-Based Approach","Bensefia, A., et al. (2026/2025)","HandPD, NewHandPD, PaHaW, UCI.","668 subjek/citra asli (187 sehat, 481 PD), diagumentasi menjadi 3340 sampel.","Offline handwriting images berupa citra biner (tinta dipisah dari templat).","Archimedean spiral.","Thresholding RGB untuk mengekstrak tinta tulisan, membuat citra biner.","Horizontal/vertical flips, scaling, noise adjustment.","Convolutional Neural Network (CNN) kustom.","Modul Convolutional layers -> Dense layers.","Size/Batch/Drop/Loss: Tidak dilaporkan, Epoch: 25, LR: 0.001, Optim: SGDM","Data reshuffled di setiap epoch.","80% pelatihan, 20% pengujian.","Holdout dengan 5 pengulangan (reshuffling setiap iterasi).","Accuracy (Max, Mean, Std), Loss, Confusion Matrix, Sensitivity, Specificity, F1-Score.","Rata-rata All Datasets mencapai 96.71% (Akurasi pasca-augmentasi di NewHandPD mencapai 97.34%).","Diuji secara persilangan ekstensif di 4 dataset (termasuk NewHandPD), teknik ekstraksi thresholding tinta sangat efektif memisahkan noise templat.","Sampel tulisan penderita sangat acak (variabilitas tinggi) membuat model agak bingung pada sampel borderline, adanya ketidakseimbangan kelas parah di dataset asli."
"Art. 10","Parkinson’s disease detection using inceptionV3: A Deep learning approach","Shanthappa, P.M., et al. (2025)","Citra spiral manual dari dataset klinik & publik (tidak disebutkan nama spesifik).","Tidak dilaporkan spesifik total akhirnya.","Citra hand-drawn spiral.","Spiral.","Gaussian & median blurring, cropping, pixel normalization 0-1.","Rotation, Augmix, Pixmix, perubahan brightness, flipping.","CNN (InceptionV3, DenseNet121, VGG16, LeNet).","Pre-trained CNN -> GAP -> Dense layers -> Dropout -> Klasifikasi (Softmax/Sigmoid).","Size: 224x224, Batch: 32, Epoch: 30, LR: Tidak dilaporkan, Optim: Adam/SGD, Loss: Categorical Crossentropy, Drop: 0.5","Hyperparameter tweaking, Batch Normalization.","Tidak dilaporkan spesifik rasionya.","Hold-out validation (akurasi dilihat dari kurva validasi).","Test Accuracy, Training Accuracy, Loss.","InceptionV3 menjadi model terbaik (Test Accuracy 98.44%).","Evaluasi perbandingan ekstensif (CNN kuno LeNet vs CNN modern Inception), menerapkan PixMix/AugMix yang sangat kuat untuk menangani data medis.","Komputasi InceptionV3 sangat lama (156 menit) dibandingkan model CNN lainnya, risiko overfitting masih menjadi ancaman utama di dataset berukuran sedang."
Catatan: Jika saat dibuka di Excel semua tulisan malah menyatu di kolom A, Anda cukup 
